uncertain_id,title,authors,year,venue,doi,url,source,screen_reason,second_pass_recommendation,confidence,rationale,manual_final_decision,manual_notes
UT-0017,Towards a Cross-Chain Genomic Data Interoperability Framework: Secure and Compliant Federated Data Exchange Using Private Blockchains,F. Alakeel; B. Alothman,2025,2025 7th International Conference on Blockchain Computing and Applications (BCCA),10.1109/BCCA66705.2025.11229686,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11229686,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0018,A Secure Federated Learning Framework using Blockchain and Differential Privacy,M. Firdaus; H. T. Larasati; K. -H. Rhee,2022,2022 IEEE 9th International Conference on Cyber Security and Cloud Computing (CSCloud)/2022 IEEE 8th International Conference on Edge Computing and Scalable Cloud (EdgeCom),10.1109/CSCloud-EdgeCom54986.2022.00013,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842971,ieee,generic_blockchain_institutional,likely_exclude,medium,Abstract is dominated by generic or off-scope signals and lacks clear institutional-consortium evidence.,,
UT-0019,Smart GuardianChain: A Solution Based on Blockchain Technology for Ensuring Security of E-Health Records in a Smart Environment,V. Sharma; K. Aseri; R. R. Palle; A. Agrawal; K. Tallapneni; S. K. Jain,2024,2023 International Conference on Smart Devices (ICSD),10.1109/ICSD60021.2024.10751348,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10751348,ieee,generic_blockchain_institutional,likely_include,high,Abstract shows institutional or consortium context plus implementation/evaluation signal.,,
UT-0020,Research on the Encryption Model of Network Security Information Transmission Based on Blockchain,R. Zhang,2024,2024 IEEE 6th International Conference on Civil Aviation Safety and Information Technology (ICCASIT),10.1109/ICCASIT62299.2024.10827902,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10827902,ieee,generic_blockchain_institutional,likely_exclude,medium,Abstract is dominated by generic or off-scope signals and lacks clear institutional-consortium evidence.,,
UT-0021,A Scalable Distributed Blockchain Framework for Secure Incident Reporting,R. B. Intud; R. G. Lumauag,2025,2025 International Conference on Intelligent Computing and Next Generation Networks (ICNGN),10.1109/ICNGN67480.2025.11413685,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11413685,ieee,generic_blockchain_institutional,likely_include,high,Abstract shows institutional or consortium context plus implementation/evaluation signal.,,
UT-0022,Federated Learning and Blockchain for Privacy-Preserving AI Models,C. Tumma; D. V. Patil; S. Gore; S. A,2025,2025 IEEE International Conference on Emerging Trends in Computing and Communication (ETCOM),10.1109/ETCOM66606.2025.11437012,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11437012,ieee,generic_blockchain_institutional,likely_exclude,high,"Record appears to focus on theory, standards, or generic blockchain use without the target institutional consortium setting.",,
UT-0023,Experimental Possibilities of Decentralized Health Information System Interoperability Using Blockchain Technology,J. Manoharan; A. H. Ali; M. M. Aljohani; A. Soni; G. V; S. Upadhyay,2024,2024 International Conference on Sustainable Communication Networks and Application (ICSCNA),10.1109/ICSCNA63714.2024.10863833,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10863833,ieee,generic_blockchain_institutional,likely_include,high,Abstract shows institutional or consortium context plus implementation/evaluation signal.,,
UT-0024,Credit Evaluation and Blockchain Consensus for Supply Chain,C. Cao; X. Zhu,2021,2021 IEEE 6th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA),10.1109/ICCCBDA51879.2021.9442494,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9442494,ieee,generic_blockchain_institutional,likely_include,medium,Technical evaluation is present and there is at least one meaningful institutional or interoperability signal.,,
UT-0025,Trustworthy Data Lakehouse Design Using Federated Learning and Blockchain,P. Chakraborty; M. A. Miah; M. A. Siam; H. Imam; K. B. Siddiqa; H. Rahman; C. R. Barikdar,2025,2025 1st International Conference on Advancement in Futuristic Technologies (ICAFT),10.1109/ICAFT66710.2025.11453041,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11453041,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0026,CyberHealth Blockchain-Enabled AI System for Securing and Sharing Patient Records in Multi-Hospital Environments,C. S. Kubam; B. R. Ande; N. Mukhi; G. Rayapati; K. K. Kondapalli,2025,2025 2nd International Conference on Electronic Circuits and Signaling Technologies (ICECST),10.1109/ICECST66106.2025.11307397,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11307397,ieee,generic_blockchain_institutional,likely_include,high,Abstract shows institutional or consortium context plus implementation/evaluation signal.,,
UT-0027,RPSC: Regulatable Privacy-Preserving Smart Contracts on Account-Based Blockchain,Z. L. Jiang; M. Xie; H. Chen; Y. Pan; J. Lyu; M. H. Au; J. Fang; Y. Liu; X. Wang,2024,IEEE Transactions on Network Science and Engineering,10.1109/TNSE.2024.3421539,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10582519,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0028,"MediCon: A Lightweight, Reputation-Based Consensus Protocol to Allow Scalable and Secure Data Sharing in Healthcare",S. E. Raja; K. D. Kumar; K. Manikandan; S. P; B. P. Shankar; I. Govindharaj,2025,2025 3rd International Conference on Sustainable Computing and Data Communication Systems (ICSCDS),10.1109/ICSCDS65426.2025.11166742,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11166742,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0029,A Blockchain-Based Self-Sovereign Identity Approach for Inter-Organizational Business Processes,A. Abid; S. Cheikhrouhou; S. Kallel; M. Jmaiel,2022,2022 17th Conference on Computer Science and Intelligence Systems (FedCSIS),10.15439/2022F194,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9908860,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0030,Research on Blockchain Privacy Preservation in Healthcare Systems,K. Wang; P. Lu; Z. Xin,2025,"2025 11th International Symposium on System Security, Safety, and Reliability (ISSSR)",10.1109/ISSSR65654.2025.00048,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11022680,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0031,Lightweight Privacy and Security Computing for Blockchained Federated Learning in IoT,M. Fan; K. Ji; Z. Zhang; H. Yu; G. Sun,2023,IEEE Internet of Things Journal,10.1109/JIOT.2023.3267112,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10102683,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0032,Towards Citizen-Centric Services using Blockchain-Powered Digitalization of Public Sector Processes,S. I. Sion; K. Zhang; A. April,2023,2023 Fifth International Conference on Blockchain Computing and Applications (BCCA),10.1109/BCCA58897.2023.10338883,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10338883,ieee,generic_blockchain_institutional,likely_include,medium,Technical evaluation is present and there is at least one meaningful institutional or interoperability signal.,,
UT-0033,Let the Blocks Fly (Flying Blocks): A Highly Efficient and Practical Consensus Protocol for Authoritative Blockchains,X. Fu; L. Feng; H. Wang; B. Ding; J. Fu,2026,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2025.3621228,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11202733,ieee,generic_blockchain_institutional,likely_include,medium,Technical evaluation is present and there is at least one meaningful institutional or interoperability signal.,,
UT-0034,Proposal for an integrative performance framework based on Distributed Ledger Technology dedicated to higher education students entering the labor market,W. Azan; P. Valiorgue; E. Peyrol; P. H. B. Hadid; Y. Li; L. F. M. Miranda,2022,2022 IEEE 6th International Conference on Logistics Operations Management (GOL),10.1109/GOL53975.2022.9820106,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9820106,ieee,tech_with_weak_signal,likely_include,medium,Technical evaluation is present and there is at least one meaningful institutional or interoperability signal.,,
UT-0035,The Blockchain-Based Edge Computing Framework for Privacy-Preserving Federated Learning,S. Hu; J. Li; C. Zhang; Q. Zhao; W. Ye,2021,2021 IEEE International Conference on Blockchain (Blockchain),10.1109/Blockchain53845.2021.00085,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680550,ieee,generic_blockchain_institutional,likely_exclude,medium,Abstract is dominated by generic or off-scope signals and lacks clear institutional-consortium evidence.,,
UT-0036,Blockchain and Federated Learning for Safe Collaborative Machine Learning Systems with Differential Privacy,N.Padmashri; V.V.Karthikeyan; P.Sumathi; S. K. Potnuru; P. B. Aswathy; V.Baby,2025,"2025 5th International Conference on Emerging Research in Electronics, Computer Science and Technology (ICERECT)",10.1109/ICERECT65215.2025.11379725,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11379725,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0037,Blockchain-Enabled Process Management and Learning Record Trustworthiness Enhancement Mechanism Design for Mock Trials,J. Guo; M. Xu,2025,2025 International Conference on Educational Technology Management (ICETM),10.1109/ICETM67477.2025.11413510,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11413510,ieee,generic_blockchain_institutional,likely_include,high,Abstract shows institutional or consortium context plus implementation/evaluation signal.,,
UT-0038,Secure Blockchain-Integrated Deep Learning Framework for Generative AI Model,M. N; V. G; L. G; B. S; G. G; P. D,2025,"2025 2nd International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)",10.1109/RMKMATE64874.2025.11042434,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11042434,ieee,generic_blockchain_institutional,likely_exclude,medium,Abstract is dominated by generic or off-scope signals and lacks clear institutional-consortium evidence.,,
UT-0039,"Integrating Deep Learning with Blockchain Technology to Strengthen Decentralized AI Application's Data Privacy, Security, and Transparency",M. K. Gajula; S. Perumalla; D. S. Deepika; M. Dinesh; J. Giri; M. O. Sabri,2025,2025 International Conference on Networks and Cryptology (NETCRYPT),10.1109/NETCRYPT65877.2025.11102722,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11102722,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0040,A Secure Design of Healthcare System with Blockchain and Internet of Things (IoT),S. Pandey; Vanshika; Anshul; R. K. Dwivedi,2023,2023 International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),10.1109/IDCIoT56793.2023.10053491,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10053491,ieee,generic_blockchain_institutional,likely_include,high,Abstract shows institutional or consortium context plus implementation/evaluation signal.,,
UT-0041,A Blockchain based Electronic Medical Health Records Framework using Smart Contracts,V. B; S. N. Dass; S. R; R. Chinnaiyan,2021,2021 International Conference on Computer Communication and Informatics (ICCCI),10.1109/ICCCI50826.2021.9402689,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402689,ieee,generic_blockchain_institutional,likely_include,high,Abstract shows institutional or consortium context plus implementation/evaluation signal.,,
UT-0042,A Blockchain-based Privacy-Preserving Scheme for Cross-domain Authentication,J. Jiang; Y. Zhang; J. Li,2022,"2022 IEEE International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)",10.1109/TrustCom56396.2022.00136,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10063524,ieee,generic_blockchain_institutional,likely_exclude,medium,Abstract is dominated by generic or off-scope signals and lacks clear institutional-consortium evidence.,,
UT-0043,Explainable Federated Learning for Secure and Transparent Medical Diagnosis in IoT-based Smart Hospitals,P. S N; N. Shelke; D. K. J. B. Saini; A. Pimpalkar; M. Pal; V. Chirchi,2025,2025 5th International Conference on Soft Computing for Security Applications (ICSCSA),10.1109/ICSCSA66339.2025.11171173,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11171173,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0044,Power Data Blockchain Sharing Scheme based on Homomorphic Encryption,Y. Lin; G. Liu; J. Wen; K. Hua; F. Jin; Y. Hu; X. Liu; Q. Zhang,2022,"2022 IEEE 5th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)",10.1109/IMCEC55388.2022.10020058,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10020058,ieee,tech_with_weak_signal,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0045,A Review on Integrating Cloud Blockchain Technology to Secure Electronic Health Records,S. Adhav; A. Kalambkar; S. Kharwante; S. Sutar; A. Shaikh,2024,2024 4th International Conference on Soft Computing for Security Applications (ICSCSA),10.1109/ICSCSA64454.2024.00090,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10918098,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0046,An Integrated Healthcare Service System Based on Blockchain Technologies,Q. Geng; Z. Chuai; J. Jin,2024,IEEE Transactions on Computational Social Systems,10.1109/TCSS.2024.3392591,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10539002,ieee,generic_blockchain_institutional,likely_include,high,Abstract shows institutional or consortium context plus implementation/evaluation signal.,,
UT-0047,FutureDID: A Fully Decentralized Identity System With Multi-Party Verification,H. Deng; J. Liang; C. Zhang; X. Liu; L. Zhu; S. Guo,2024,IEEE Transactions on Computers,10.1109/TC.2024.3398509,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10527419,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0048,Decoding the Blocks,V. Vadivelu; R. Rajasekar; M. P. Chinnasamy,2025,Blockchain Technology for the Engineering and Service Sectors,10.1002/9781394238033.ch1,https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=11236065.pdf&bkn=11236003&pdfType=chapter,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0049,Eisdspa: An Efficient and Secure Blockchain-Based Donation Scheme With Privacy Protection and Auditability,Y. Zhou; H. Lei; Z. Bao,2024,IEEE Open Journal of the Communications Society,10.1109/OJCOMS.2024.3504403,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10759694,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0050,Blockchain and Machine Learning in EHR Security: A Systematic Review,U. Zukaib; X. Cui; M. Hassan; S. Harris; H. J. Hadi; C. Zheng,2023,IEEE Access,10.1109/ACCESS.2023.3333229,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10318133,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0051,Amazon Biobank: Assessing the Implementation of a Blockchain-Based Genomic Database,L. T. Kimura; F. K. Shiraishi; E. R. Andrade; T. C. M. B. Carvalho; M. A. Simplicio,2024,IEEE Access,10.1109/ACCESS.2024.3354716,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10400478,ieee,tech_with_weak_signal,likely_include,medium,Technical evaluation is present and there is at least one meaningful institutional or interoperability signal.,,
UT-0052,Blockchain-Enabled Trustworthy Healthcare Data Sharing Mechanism for Reliable 6G-IoT Networks,Q. Zhang; X. Xue; J. Yang,2026,IEEE Internet of Things Journal,10.1109/JIOT.2025.3564782,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10978035,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0053,A Security Risk Management Framework for Permissioned Blockchain Applications,S. -C. Cha; C. -M. Shiung; G. -Y. Lin; Y. -H. Hung,2021,2021 IEEE International Conference on Smart Internet of Things (SmartIoT),10.1109/SmartIoT52359.2021.00055,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9556208,ieee,tech_with_weak_signal,likely_include,medium,Technical evaluation is present and there is at least one meaningful institutional or interoperability signal.,,
UT-0054,Secure University Certificate Sharing Application with Blockchain Technology,K. P; H. D; H. S,2025,2025 International Conference on Computing Technologies & Data Communication (ICCTDC),10.1109/ICCTDC64446.2025.11159068,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11159068,ieee,tech_with_weak_signal,likely_include,medium,Technical evaluation is present and there is at least one meaningful institutional or interoperability signal.,,
UT-0055,Design Discipline Teaching Reform and Innovation under Blockchain Technology,J. Rao; X. Han,2023,2023 International Conference on Computer Engineering and Distance Learning (CEDL),10.1109/CEDL60560.2023.00041,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10337471,ieee,tech_with_weak_signal,likely_exclude,medium,Weak institutional context and limited evidence of an implementation-focused consortium study.,,
UT-0056,Secure Medical Data Sharing Featuring Traceable Data Usage and Automatic Audit Mechanism,M. Xie; Z. Zhang; H. Hong; G. Zhang; Y. Qin,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3559926,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10963865,ieee,generic_blockchain_institutional,likely_include,high,Abstract shows institutional or consortium context plus implementation/evaluation signal.,,
UT-0057,EE blockchain: End-to-end service regulation and efficient retrieval and categorization on the underlying level,R. Xiong; G. Cheng; D. Hu; Y. Xu; X. Liang; X. Zhao,2024,2024 IEEE International Conference on Web Services (ICWS),10.1109/ICWS62655.2024.00043,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10707543,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0058,Auditable Medical Data Sharing through Recoverable Key Agreement,J. van Assen; R. Kromes; Z. Erkin,2024,2024 6th Conference on Blockchain Research & Applications for Innovative Networks and Services (BRAINS),10.1109/BRAINS63024.2024.10732363,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10732363,ieee,tech_with_weak_signal,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
UT-0059,Blockchain-Powered Federated Learning: A Secure and Decentralized Approach to Distributed AI,S. Mehta; A. Singh,2024,2024 IEEE International Conference on Intelligent Signal Processing and Effective Communication Technologies (INSPECT),10.1109/INSPECT63485.2024.10896016,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10896016,ieee,generic_blockchain_institutional,likely_exclude,high,"Record appears to focus on theory, standards, or generic blockchain use without the target institutional consortium setting.",,
UT-0060,A Fog and Blockchain Software Architecture for a Global Scale Vaccination Strategy,H. J. De Moura Costa; C. A. Da Costa; R. Da Rosa Righi; R. S. Antunes; J. F. De Paz Santana; V. R. Q. Leithardt,2022,IEEE Access,10.1109/ACCESS.2022.3169418,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9761908,ieee,generic_blockchain_institutional,likely_include,medium,Technical evaluation is present and there is at least one meaningful institutional or interoperability signal.,,
UT-0061,BDSP: A Fair Blockchain-enabled Framework for Privacy-Enhanced Enterprise Data Sharing,L. D. Nguyen; J. Hoang; Q. Wang; Q. Lu; S. Xu; S. Chen,2023,2023 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),10.1109/ICBC56567.2023.10174943,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174943,ieee,generic_blockchain_institutional,likely_exclude,high,"Record appears to focus on theory, standards, or generic blockchain use without the target institutional consortium setting.",,
UT-0062,Dependable Decentralized Reputation Management System for Vehicular Ad Hoc Networks,K. Mrabet; F. El Bouanani; H. Ben-Azza,2021,2021 4th International Conference on Advanced Communication Technologies and Networking (CommNet),10.1109/CommNet52204.2021.9641962,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9641962,ieee,generic_blockchain_institutional,needs_manual,medium,"Mixed signals: some relevant blockchain/implementation cues, but institutional consortium relevance is not decisive from title/abstract alone.",,
