candidate_id,title,year,venue,doi,source,fulltext_access,fulltext_source,landing_page_url,pdf_url,text_source,text_length,agent_fulltext_decision,agent_reason_code,agent_confidence,agent_rationale
FT-0025,Blockchain-based Decentralized Identity Management for Healthcare Systems,2023,arXiv,10.48550/arXiv.2307.16239v1,arxiv,open,arxiv,http://arxiv.org/abs/2307.16239v1,https://arxiv.org/pdf/2307.16239v1.pdf,remote_pdf,52578,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0026,APPFLChain: A Privacy Protection Distributed Artificial-Intelligence Architecture Based on Federated Learning and Consortium Blockchain,2022,arXiv,10.48550/arXiv.2206.12790v2,arxiv,open,arxiv,http://arxiv.org/abs/2206.12790v2,https://arxiv.org/pdf/2206.12790v2.pdf,landing_html,6239,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0027,Secure Decentralized IoT Service Platform using Consortium Blockchain,2022,arXiv,10.48550/arXiv.2209.12145v1,arxiv,open,arxiv,http://arxiv.org/abs/2209.12145v1,https://arxiv.org/pdf/2209.12145v1.pdf,remote_pdf,92039,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0028,Multisecret-sharing scheme with two-level security and its applications in Blockchain,2022,arXiv,10.48550/arXiv.2209.03670v1,arxiv,open,arxiv,http://arxiv.org/abs/2209.03670v1,https://arxiv.org/pdf/2209.03670v1.pdf,remote_pdf,36481,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0029,NSSIA: A New Self-Sovereign Identity Scheme with Accountability,2022,arXiv,10.48550/arXiv.2206.04911v1,arxiv,open,arxiv,http://arxiv.org/abs/2206.04911v1,https://arxiv.org/pdf/2206.04911v1.pdf,remote_pdf,69386,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0030,A Consensus Algorithm Based on Risk Assessment Model for Permissioned Blockchain,2022,arXiv,10.48550/arXiv.2207.07453v1,arxiv,open,arxiv,http://arxiv.org/abs/2207.07453v1,https://arxiv.org/pdf/2207.07453v1.pdf,remote_pdf,73737,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0031,ScaleSFL: A Sharding Solution for Blockchain-Based Federated Learning,2022,arXiv,10.48550/arXiv.2204.01202v1,arxiv,open,arxiv,http://arxiv.org/abs/2204.01202v1,https://arxiv.org/pdf/2204.01202v1.pdf,remote_pdf,59884,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0032,Atomic cross-chain exchanges of shared assets,2022,arXiv,10.48550/arXiv.2202.12855v3,arxiv,open,arxiv,http://arxiv.org/abs/2202.12855v3,https://arxiv.org/pdf/2202.12855v3.pdf,remote_pdf,81313,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0033,SoK: A Taxonomy for Critical Analysis of Consensus Mechanisms in Consortium Blockchain,2021,arXiv,10.48550/arXiv.2102.12058v3,arxiv,open,arxiv,http://arxiv.org/abs/2102.12058v3,https://arxiv.org/pdf/2102.12058v3.pdf,remote_pdf,90098,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0034,A Reputation-based Approach using Consortium Blockchain for Cyber Threat Intelligence Sharing,2021,arXiv,10.48550/arXiv.2107.06662v1,arxiv,open,arxiv,http://arxiv.org/abs/2107.06662v1,https://arxiv.org/pdf/2107.06662v1.pdf,remote_pdf,43262,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0035,Blockchain and Federated Edge Learning for Privacy-Preserving Mobile Crowdsensing,2021,arXiv,10.48550/arXiv.2110.08671v1,arxiv,open,arxiv,http://arxiv.org/abs/2110.08671v1,https://arxiv.org/pdf/2110.08671v1.pdf,remote_pdf,70408,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0036,Efficient and Privacy-Preserving Infection Control System for Covid-19-Like Pandemics using Blockchain,2021,arXiv,10.48550/arXiv.2104.02263v1,arxiv,open,arxiv,http://arxiv.org/abs/2104.02263v1,https://arxiv.org/pdf/2104.02263v1.pdf,remote_pdf,78395,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0037,PrivChain: Provenance and Privacy Preservation in Blockchain enabled Supply Chains,2021,arXiv,10.48550/arXiv.2104.13964v1,arxiv,open,arxiv,http://arxiv.org/abs/2104.13964v1,https://arxiv.org/pdf/2104.13964v1.pdf,remote_pdf,71652,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0038,MITOSIS: Practically Scaling Permissioned Blockchains,2021,arXiv,10.48550/arXiv.2109.10302v1,arxiv,open,arxiv,http://arxiv.org/abs/2109.10302v1,https://arxiv.org/pdf/2109.10302v1.pdf,remote_pdf,60375,include,meets_fulltext_criteria,medium,Implementation and evaluation detail with at least one credible institutional/interoperability signal.
FT-0039,Decentralized Cross-Network Identity Management for Blockchain Interoperation,2021,arXiv,10.48550/arXiv.2104.03277v1,arxiv,open,arxiv,http://arxiv.org/abs/2104.03277v1,https://arxiv.org/pdf/2104.03277v1.pdf,remote_pdf,51625,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0040,A Pub-Sub Architecture to Promote Blockchain Interoperability,2021,arXiv,10.48550/arXiv.2101.12331v1,arxiv,open,arxiv,http://arxiv.org/abs/2101.12331v1,https://arxiv.org/pdf/2101.12331v1.pdf,remote_pdf,51160,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0041,An Empirical Analysis of Implementing Enterprise Blockchain Protocols in Supply Chain Anti-Counterfeiting and Traceability,2021,arXiv,10.48550/arXiv.2102.02601v1,arxiv,open,arxiv,http://arxiv.org/abs/2102.02601v1,https://arxiv.org/pdf/2102.02601v1.pdf,remote_pdf,89920,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0042,BlockJack: Towards Improved Prevention of IP Prefix Hijacking Attacks in Inter-Domain Routing Via Blockchain,2021,arXiv,10.48550/arXiv.2107.07063v1,arxiv,open,arxiv,http://arxiv.org/abs/2107.07063v1,https://arxiv.org/pdf/2107.07063v1.pdf,remote_pdf,56727,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0043,Towards Automated Benchmark Support for Multi-Blockchain Interoperability-Facilitating Platforms,2021,arXiv,10.48550/arXiv.2103.03866v1,arxiv,open,arxiv,http://arxiv.org/abs/2103.03866v1,https://arxiv.org/pdf/2103.03866v1.pdf,remote_pdf,57000,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0044,Leveraging Public-Private Blockchain Interoperability for Closed Consortium Interfacing,2021,arXiv,10.48550/arXiv.2104.09801v1,arxiv,open,arxiv,http://arxiv.org/abs/2104.09801v1,https://arxiv.org/pdf/2104.09801v1.pdf,remote_pdf,60766,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0045,SPAD – A Secure and Privacy-Preserving Distributed Analytics Framework,2025,2025 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),10.1109/ICBC64466.2025.11114453,ieee,open,openalex,https://doi.org/10.1007/s11432-020-2955-6,https://link.springer.com/content/pdf/10.1007/s11432-020-2955-6.pdf,remote_pdf,105186,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0046,Design and Implementation of Privacy Protection of Charity System Based on Blockchain,2022,2022 11th International Conference of Information and Communication Technology (ICTech)),10.1109/ICTech55460.2022.00036,ieee,unknown,openalex,https://doi.org/10.1109/ictech55460.2022.00036,,landing_html,835,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0048,Blockchain-Enabled Innovation in Digital Governance and Learning Assessment Systems for Higher Education,2025,2025 5th International Conference on Educational Technology (ICET),10.1109/ICET67421.2025.11380424,ieee,unknown,openalex,https://doi.org/10.1109/icet67421.2025.11380424,,landing_html,854,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0051,A Six-Layer Consortium Blockchain Architecture for Intelligent Assessment and Data Governance,2025,2025 International Conference on Educational Technology Management (ICETM),10.1109/ICETM67477.2025.11413332,ieee,unknown,openalex,https://doi.org/10.1109/icetm67477.2025.11413332,,landing_html,843,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0052,A Study of Layer-2 Consortium Blockchain with zk-SNARKs for Medical Information Management,2024,2024 Twelfth International Symposium on Computing and Networking Workshops (CANDARW),10.1109/CANDARW64572.2024.00070,ieee,unknown,openalex,https://doi.org/10.1109/candarw64572.2024.00070,,landing_html,840,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0053,Public vs. Permissioned Blockchains for DAOs: Insights for Standardized Implementations,2025,2025 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),10.1109/ICBC64466.2025.11114668,ieee,open,openalex,https://doi.org/10.1109/access.2019.2936094,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08805074.pdf,remote_pdf,100874,include,meets_fulltext_criteria,high,"Institutional/consortium context, concrete blockchain design/implementation, and evaluative evidence."
FT-0056,"Enabling Cross-Institution Health Data Sharing in Norway: EUDI Wallets, On-Chain Consent, and openEHR↔FHIR Translation",2026,IEEE Access,10.1109/ACCESS.2026.3661642,ieee,open,openalex,https://doi.org/10.1109/access.2026.3661642,,landing_html,865,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0059,Blockchain-Enabled Cafeteria Token Management and Transaction System: A Permissioned DLT Approach for High-Throughput Institutional Micro-Payments,2026,2026 Second International Conference on Multi-Agent Systems for Collaborative Intelligence (ICMSCI),10.1109/ICMSCI67830.2026.11469495,ieee,unknown,openalex,https://doi.org/10.1109/icmsci67830.2026.11469495,,landing_html,896,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0061,Efficient Cross-chain Framework for Privacy-Preserving and Auditable Data Retrieval,2026,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2026.3667755,ieee,unknown,openalex,https://doi.org/10.1109/tdsc.2026.3667755,,landing_html,830,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0062,Design and Implementation of a Blockchain-Based Traceability System for Agricultural Products,2025,2025 21st International Conference on Computational Intelligence and Security (CIS),10.1109/CIS69366.2025.11433853,ieee,unknown,openalex,https://doi.org/10.1109/cis69366.2025.11433853,,landing_html,843,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0063,Investigating Distance Bounding for Delegated Proof-of-Proximity Consensus within IIoT,2022,2022 IEEE 31st International Symposium on Industrial Electronics (ISIE),10.1109/ISIE51582.2022.9831631,ieee,unknown,openalex,https://doi.org/10.1109/isie51582.2022.9831631,,landing_html,836,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0064,Beyond Reality: An Application of Extended Reality and Blockchain in the Metaverse,2023,2023 IEEE International Conference on Omni-layer Intelligent Systems (COINS),10.1109/COINS57856.2023.10189285,ieee,unknown,openalex,https://doi.org/10.1109/coins57856.2023.10189285,,landing_html,832,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0065,Blockchain Bridges for Verifiable Credentials in Healthcare - A Cross-Chain Interoperability Approach,2025,"2025 IEEE 2nd International Conference on Blockchain, Smart Healthcare and Emerging Technologies (SmartBlock4Health)",10.1109/SmartBlock4Health64843.2025.11189589,ieee,unknown,openalex,https://doi.org/10.1109/smartblock4health64843.2025.11189589,,landing_html,851,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0066,A Decentralized System for Enhancing Real-Time Interbank Transfers Using Permissioned Blockchain and Artificial Intelligence,2025,2025 IEEE International Conference on Advances in Computing Research On Science Engineering and Technology (ACROSET),10.1109/ACROSET66531.2025.11281327,ieee,unknown,openalex,https://doi.org/10.1109/acroset66531.2025.11281327,,landing_html,874,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0070,A Privacy Protection Scheme for Permissioned Blockchain Based on Trusted Execution Environment,2022,2022 International Conference on Blockchain Technology and Information Security (ICBCTIS),10.1109/ICBCTIS55569.2022.00012,ieee,unknown,openalex,https://doi.org/10.1109/icbctis55569.2022.00012,,landing_html,844,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0072,A Procedural Architecture for Agent Trust and Credibility Verification in Distributed Ledger-Based Federated Learning,2026,IEEE Access,10.1109/ACCESS.2026.3671712,ieee,open,openalex,https://doi.org/10.1109/access.2026.3671712,,unavailable,0,exclude,no_full_text_access,medium,No openly accessible full text could be retrieved automatically; conservatively excluded.
FT-0073,Blockchain-Powered Framework for Trustworthy AI: Ensuring End-to-End Data and Model Integrity with Privacy Preservation,2025,2025 10th International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS),10.1109/ICIIBMS66230.2025.11316776,ieee,unknown,openalex,https://doi.org/10.1109/iciibms66230.2025.11316776,,landing_html,869,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0076,Investigating the Application of Nested NFTs on Consortium Blockchain for Enterprise Supply Chain Traceability Management,2025,2025 25th Asia-Pacific Network Operations and Management Symposium (APNOMS),10.23919/APNOMS67058.2025.11181346,ieee,unknown,openalex,https://doi.org/10.23919/apnoms67058.2025.11181346,,unavailable,0,exclude,no_full_text_access,medium,No openly accessible full text could be retrieved automatically; conservatively excluded.
FT-0078,A Low-Cost Cross-Border Payment System Based on Auditable Cryptocurrency With Consortium Blockchain: Joint Digital Currency,2023,IEEE Transactions on Services Computing,10.1109/TSC.2022.3207224,ieee,open,openalex,https://doi.org/10.1109/tsc.2022.3207224,https://ieeexplore.ieee.org/ielx7/4629386/4629387/09894089.pdf,unavailable,0,exclude,no_full_text_access,medium,No openly accessible full text could be retrieved automatically; conservatively excluded.
FT-0079,Scattered Requirements Dust in the Era of Web3 – a Vision Keynote,2024,2024 IEEE 32nd International Requirements Engineering Conference Workshops (REW),10.1109/REW61692.2024.00050,ieee,unknown,openalex,http://dx.doi.org/10.1109/rew61692.2024.00050,,unavailable,0,exclude,no_full_text_access,medium,No openly accessible full text could be retrieved automatically; conservatively excluded.
FT-0080,Designing a Private Distributed Ledger Model for Secure Document Flow in Criminal Proceedings,2022,2022 Conference of Russian Young Researchers in Electrical and Electronic Engineering (ElConRus),10.1109/ElConRus54750.2022.9755552,ieee,unknown,openalex,https://doi.org/10.1109/elconrus54750.2022.9755552,,landing_html,843,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0081,Application of Blockchain Technology Based on Ring Signature in Intelligent Referral System,2025,2025 IEEE 14th International Conference on Communication Systems and Network Technologies (CSNT),10.1109/CSNT64827.2025.10969061,ieee,unknown,openalex,https://doi.org/10.1109/csnt64827.2025.10969061,,landing_html,841,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0082,Unmasking Electoral Finance: The ElectraChain Blockchain Solution,2025,2025 7th International Conference on Information Systems and Computer Networks (ISCON),10.1109/ISCON65210.2025.11341296,ieee,unknown,openalex,https://doi.org/10.1109/iscon65210.2025.11341296,,landing_html,815,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0085,Redactable Blockchain Using Lattice-based Chameleon Hash Function,2022,2022 International Conference on Blockchain Technology and Information Security (ICBCTIS),10.1109/ICBCTIS55569.2022.00032,ieee,unknown,openalex,https://doi.org/10.1109/icbctis55569.2022.00032,,landing_html,815,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0086,Integrating Blockchain Technology with PKI for Secure and Interoperable Communication in 5G and Beyond Vehicular Networks,2024,2024 IEEE 21st Consumer Communications & Networking Conference (CCNC),10.1109/CCNC51664.2024.10454714,ieee,unknown,openalex,http://dx.doi.org/10.1109/ccnc51664.2024.10454714,,landing_html,871,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0089,BillingOpsSC: Smart Contract-based Service Billing Management Method for Consortium Blockchain-based Systems,2023,"2023 IEEE 47th Annual Computers, Software, and Applications Conference (COMPSAC)",10.1109/COMPSAC57700.2023.00166,ieee,unknown,openalex,http://dx.doi.org/10.1109/compsac57700.2023.00166,,landing_html,858,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0090,Trusted Data Sharing Model Integrating Blockchain and Deep Learning,2025,2025 IEEE 2nd International Conference on Big Data Science and Engineering (ICBDSE),10.1109/ICBDSE65491.2025.11220103,ieee,unknown,openalex,https://doi.org/10.1109/icbdse65491.2025.11220103,,landing_html,817,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0095,Operating ZKPs on Blockchain: A Performance Analysis Based on Hyperledger Fabric,2024,2024 IEEE International Conference on Decentralized Applications and Infrastructures (DAPPS),10.1109/DAPPS61106.2024.00018,ieee,open,openalex,https://handle.uba.uva.nl/personal/pure/en/publications/operating-zkps-on-blockchain(51f77d76-f083-4f37-ae61-129204160f69).html,,landing_html,2404,include,meets_fulltext_criteria,medium,Implementation and evaluation detail with at least one credible institutional/interoperability signal.
FT-0100,KYC Optimization by Blockchain Based Hyperledger Fabric Network,2021,"2021 4th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)",10.1109/AEMCSE51986.2021.00264,ieee,unknown,openalex,https://doi.org/10.1109/aemcse51986.2021.00264,,landing_html,813,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0101,EduCredPH: Towards a Permissioned Blockchain Network for Educational Credentials Verification System,2024,2024 12th International Conference on Information and Education Technology (ICIET),10.1109/ICIET60671.2024.10542756,ieee,unknown,openalex,https://doi.org/10.1109/iciet60671.2024.10542756,,landing_html,850,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0102,An Efficient Customized Blockchain System for Inter-Organizational Processes,2023,2023 IEEE International Conference on Web Services (ICWS),10.1109/ICWS60048.2023.00080,ieee,unknown,openalex,https://doi.org/10.1109/icws60048.2023.00080,,landing_html,826,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0103,Redacting Transactions from Execute-Order-Validate Blockchains,2021,2021 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),10.1109/ICBC51069.2021.9461093,ieee,unknown,openalex,https://doi.org/10.1109/icbc51069.2021.9461093,,landing_html,812,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0104,Security in Healthcare (Blood Bank) Using Blockchain,2025,2025 International Conference on Future Technologies (ICFT),10.1109/ICFT66708.2025.11336472,ieee,unknown,openalex,https://doi.org/10.1109/icft66708.2025.11336472,,landing_html,802,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
FT-0105,A Blockchain-Based Dual-Side Privacy-Preserving Multiparty Computation Scheme for Edge-Enabled Smart Grid,2022,IEEE Internet of Things Journal,10.1109/JIOT.2021.3061107,ieee,unknown,openalex,https://doi.org/10.1109/jiot.2021.3061107,,landing_html,852,exclude,insufficient_fulltext_access,low,Agent reviewed the accessible full text but could not confirm inclusion criteria; conservatively excluded pending future human re-screen.
