uncertain_id,title,year,venue,priority_bucket,text_source,text_available,text_length,agent_fulltext_decision,agent_reason_code,agent_confidence,agent_rationale,landing_page_url,pdf_url,local_pdf_path
UT-0126,A BLOCKCHAIN ENABLED TAMPER PROOF APPROACH FOR ENHANCED MEDICAL DATA INTEGRITY AND ACCESS CONTROL,2025,Journal of Science Engineering Technology and Management Sciences,downloaded_pdf,local_pdf,yes,31515,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",https://doi.org/10.64771/jsetms.2025.v02.i08.pp602-612,https://doi.org/10.64771/jsetms.2025.v02.i08.pp602-612,data/fulltext/ambiguous/UT-0126-a-blockchain-enabled-tamper-proof-approach-for-enhanced-medical-data-integrity-a.pdf
UT-0121,Enhancing anomaly detection and prevention in Internet of Things (IoT) using deep neural networks and blockchain based cyber security,2025,Scientific Reports,downloaded_pdf,local_pdf,yes,80982,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",https://doi.org/10.1038/s41598-025-04164-4,https://www.nature.com/articles/s41598-025-04164-4.pdf,data/fulltext/ambiguous/UT-0121-enhancing-anomaly-detection-and-prevention-in-internet-of-things-iot-using-deep-.pdf
UT-0003,Universally Composable Termination Analysis of Tendermint,2025,arXiv,downloaded_pdf,local_pdf,yes,58702,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",http://arxiv.org/abs/2510.01097v2,https://arxiv.org/pdf/2510.01097v2.pdf,data/fulltext/ambiguous/UT-0003-universally-composable-termination-analysis-of-tendermint.pdf
UT-0002,Integration Adapter Architecture for Food Traceability Blockchain,2026,arXiv,downloaded_pdf,local_pdf,yes,39248,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",http://arxiv.org/abs/2603.26306v1,https://arxiv.org/pdf/2603.26306v1.pdf,data/fulltext/ambiguous/UT-0002-integration-adapter-architecture-for-food-traceability-blockchain.pdf
UT-0001,QDBFT: A Dynamic Consensus Algorithm for Quantum-Secured Blockchain,2026,arXiv,downloaded_pdf,local_pdf,yes,57271,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",http://arxiv.org/abs/2602.11606v1,https://arxiv.org/pdf/2602.11606v1.pdf,data/fulltext/ambiguous/UT-0001-qdbft-a-dynamic-consensus-algorithm-for-quantum-secured-blockchain.pdf
UT-0248,A Trusted Blockchain-Based Traceability System for Fruit and Vegetable Agricultural Products,2021,IEEE Access,open_pdf_link,remote_pdf,yes,52942,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",https://doi.org/10.1109/access.2021.3062845,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09366530.pdf,
UT-0244,Consumer valuation of blockchain traceability for beef in the <scp>U</scp>nited <scp>S</scp>tates,2021,Applied Economic Perspectives and Policy,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.1002/aepp.13157,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aepp.13157,
UT-0249,"Federated Deep Learning for Cyber Security in the Internet of Things: Concepts, Applications, and Experimental Analysis",2021,IEEE Access,open_pdf_link,landing_html,yes,866,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.1109/access.2021.3118642,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09562531.pdf,
UT-0239,"Integration of Blockchain, IoT and Machine Learning for Multistage Quality Control and Enhancing Security in Smart Manufacturing",2021,Sensors,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.3390/s21041467,https://www.mdpi.com/1424-8220/21/4/1467/pdf?version=1614059769,
UT-0281,SmartCon: A Blockchain-Based Framework for Smart Contracts and Transaction Management,2021,IEEE Access,open_pdf_link,remote_pdf,yes,54030,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",https://doi.org/10.1109/access.2021.3135562,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09650875.pdf,
UT-0277,When Measurements Meet Blockchain: On Behalf of an Inter-NMI Network,2021,Sensors,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.3390/s21051564,https://www.mdpi.com/1424-8220/21/5/1564/pdf?version=1614566298,
UT-0029,A Blockchain-Based Self-Sovereign Identity Approach for Inter-Organizational Business Processes,2022,2022 17th Conference on Computer Science and Intelligence Systems (FedCSIS),open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.15439/2022f194,https://annals-csis.org/proceedings/2022/drp/pdf/194.pdf,
UT-0216,Agricultural traceability model based on IoT and Blockchain: Application in industrial hemp production,2022,Journal of Industrial Information Integration,open_pdf_link,remote_html_from_pdf_url,yes,227973,exclude,no_implementation_detail,medium,The accessible full text does not provide enough implementation detail for inclusion under the protocol.,https://doi.org/10.1016/j.jii.2022.100381,https://ars.els-cdn.com/content/image/1-s2.0-S2452414X22000498-ga1_lrg.jpg,
UT-0210,An Efficient Data Sharing Scheme for Privacy Protection Based on Blockchain and Edge Intelligence in 6G‐VANET,2022,Wireless Communications and Mobile Computing,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.1155/2022/5031112,https://downloads.hindawi.com/journals/wcmc/2022/5031112.pdf,
UT-0209,Application of Blockchain Technology in Production Scheduling and Management of Human Resources Competencies,2022,Sensors,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.3390/s22082844,https://www.mdpi.com/1424-8220/22/8/2844/pdf?version=1649408616,
UT-0232,Blockchain for Doping Control Applications in Sports: A Conceptual Approach,2022,Future Internet,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.3390/fi14070210,https://www.mdpi.com/1999-5903/14/7/210/pdf?version=1657792666,
UT-0207,Blockchain-Enabled Cross-Border E-Commerce Supply Chain Management: A Bibliometric Systematic Review,2022,Sustainability,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.3390/su142315918,https://www.mdpi.com/2071-1050/14/23/15918/pdf?version=1669724429,
UT-0230,Do-It-Yourself Recommender System: Reusing and Recycling With Blockchain and Deep Learning,2022,IEEE Access,open_pdf_link,landing_html,yes,837,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.1109/access.2022.3199661,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09864188.pdf,
UT-0227,Health-zkIDM: A Healthcare Identity System Based on Fabric Blockchain and Zero-Knowledge Proof,2022,Sensors,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.3390/s22207716,https://www.mdpi.com/1424-8220/22/20/7716/pdf?version=1665492112,
UT-0226,Integration of Hardware Security Modules and Permissioned Blockchain in Industrial IoT Networks,2022,IEEE Access,open_pdf_link,landing_html,yes,842,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.1109/access.2022.3217815,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09931706.pdf,
UT-0224,"Medical-Waste Chain: A Medical Waste Collection, Classification and Treatment Management by Blockchain Technology",2022,Computers,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.3390/computers11070113,https://www.mdpi.com/2073-431X/11/7/113/pdf?version=1657710877,
UT-0203,Simulation of the Lightweight Blockchain Technique Based on Privacy and Security for Healthcare Data for the Cloud System,2022,International Journal of E-Health and Medical Communications,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.4018/ijehmc.309436,https://www.igi-global.com/ViewTitle.aspx?TitleId=309436&isxn=9781668477557,
UT-0222,The Role of Blockchain in E-Governance and Decision-Making in Project and Program Management,2022,Advances in Internet of Things,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.4236/ait.2022.123006,http://www.scirp.org/journal/PaperDownload.aspx?paperID=118717,
UT-0228,VBlock: A Blockchain-Based Tamper-Proofing Data Protection Model for Internet of Vehicle Networks,2022,Sensors,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.3390/s22208083,https://www.mdpi.com/1424-8220/22/20/8083/pdf?version=1666775645,
UT-0192,A Novel Blockchain-Enabled Supply-Chain Management Framework for Xinjiang Jujube: Research on Optimized Blockchain Considering Private Transactions,2023,Foods,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.3390/foods12030587,https://www.mdpi.com/2304-8158/12/3/587/pdf?version=1675083480,
UT-0196,A Scalable Byzantine Fault Tolerance Algorithm Based on a Tree Topology Network,2023,IEEE Access,open_pdf_link,landing_html,yes,826,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.1109/access.2023.3264011,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10091103.pdf,
UT-0155,Blockchain Technology Adoption in the State of Qatar: Qualitative Risk Analysis,2023,International conference on civil infrastructure and construction/Proceedings of the ... International conference on civil infrastructure and construction,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,http://dx.doi.org/10.29117/cic.2023.0043,http://qspace.qu.edu.qa/bitstream/10576/47077/1/043.pdf,
UT-0050,Blockchain and Machine Learning in EHR Security: A Systematic Review,2023,IEEE Access,open_pdf_link,remote_pdf,yes,145596,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",https://doi.org/10.1109/access.2023.3333229,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10318133.pdf,
UT-0078,FRAMH: A Federated Learning Risk-Based Authorization Middleware for Healthcare,2023,IEEE Transactions on Computational Social Systems,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://hdl.handle.net/11585/899376,https://cris.unibo.it/bitstream/11585/899376/3/FRAMH.pdf,
UT-0195,HealthLock: Blockchain-Based Privacy Preservation Using Homomorphic Encryption in Internet of Things Healthcare Applications,2023,Sensors,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.3390/s23156762,https://www.mdpi.com/1424-8220/23/15/6762/pdf?version=1690547889,
UT-0174,"Healthcare Internet of Things (H-IoT): Current Trends, Future Prospects, Applications, Challenges, and Security Issues",2023,Electronics,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.3390/electronics12092050,https://www.mdpi.com/2079-9292/12/9/2050/pdf?version=1683183493,
UT-0137,A Blockchain‐Based Trustworthy Access Control Scheme for Medical Data Sharing,2024,IET Information Security,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.1049/2024/5559522,https://downloads.hindawi.com/journals/ietis/2024/5559522.pdf,
UT-0134,Blockchain in Finance: A Systematic Literature Review,2024,Preprints.org,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.20944/preprints202402.0690.v2,https://www.preprints.org/manuscript/202402.0690/v2/download,
UT-0141,Drawing the Boundaries Between Blockchain and Blockchain-Like Systems: A Comprehensive Survey on Distributed Ledger Technologies,2024,Proceedings of the IEEE,open_pdf_link,remote_pdf,yes,122871,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",https://hal.science/hal-04564278,https://hal.science/hal-04564278v1/document,
UT-0106,A process model of governance adaptation and performance outcomes in e-commerce permissioned blockchain networks,2025,International Journal of Production Economics,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://eprints.gla.ac.uk/358010/1/358010.pdf,https://eprints.gla.ac.uk/358010/1/358010.pdf,
UT-0113,Blockchain Based Zero Knowledge Proof Protocol For Privacy Preserving Healthcare Data Sharing,2025,Journal of Technology Informatics and Engineering,open_pdf_link,landing_html,yes,12985,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",https://doi.org/10.51903/jtie.v4i1.296,https://jtie.stekom.ac.id/index.php/jtie/article/download/296/251,
UT-0117,Blockchain for Empowering Central Bank Digital Currencies (CBDCs): Examples from Industry,2025,,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.7566/jpscp.44.011002,https://journals.jps.jp/doi/pdf/10.7566/JPSCP.44.011002?download=true,
UT-0107,Enhancing Transparency and Trust in Higher Education Institutions via Blockchain: A Conceptual Model Utilizing the Ethereum Consortium Approach,2025,Sustainability,open_pdf_link,unavailable,no,0,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.3390/su17209350,https://www.mdpi.com/2071-1050/17/20/9350/pdf?version=1761052780,
UT-0269,Analysis of challenges for blockchain adoption within the Indian public sector: an interpretive structural modelling approach,2021,Information Technology and People,open_landing_page,landing_html,yes,4303,include,meets_fulltext_criteria,high,"Full text shows institutional or consortium context, concrete blockchain system design or implementation, and evaluative evidence.",http://hdl.handle.net/10454/18327,,
UT-0288,Ocular Imaging Standardization for Artificial Intelligence Applications in Ophthalmology: the Joint Position Statement and Recommendations From the Asia-Pacific Academy of Ophthalmology and the Asia-Pacific Ocular Imaging Society,2021,Asia-Pacific Journal of Ophthalmology,open_landing_page,landing_html,yes,11,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.1097/apo.0000000000000421,,
UT-0184,"A critical literature review of security and privacy in smart home healthcare schemes adopting IoT &amp; blockchain: Problems, challenges and solutions",2023,Blockchain Research and Applications,open_landing_page,landing_html,yes,11,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.1016/j.bcra.2023.100178,,
UT-0049,Eisdspa: An Efficient and Secure Blockchain-Based Donation Scheme With Privacy Protection and Auditability,2024,IEEE Open Journal of the Communications Society,open_landing_page,landing_html,yes,853,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.1109/ojcoms.2024.3504403,,
UT-0139,Reducing clients’ influence in property valuation: An exploration of a blockchain-based solution,2024,Habitat International,open_landing_page,landing_html,yes,11,needs_human_check,insufficient_fulltext_access,low,Accessible text was too limited to make a defensible full-text decision.,https://doi.org/10.1016/j.habitatint.2024.103217,,
