candidate_id,title,year,venue,source,doi,url,construct_score,construct_note,internal_score,internal_note,external_score,external_note,reproducibility_score,reproducibility_note,total_score,tier,abstract_available
FT-0860,Bio-block: future-proofing medical data with blockchain,2026,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,wos,10.1007/s10586-025-05926-5,WOS:001679381400001,2,strong evaluation vocabulary (3 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (3 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0319,Blockchain Based Zero Knowledge Proof Protocol For Privacy Preserving Healthcare Data Sharing,2025,Journal of Technology Informatics and Engineering,openalex,10.51903/jtie.v4i1.296,https://doi.org/10.51903/jtie.v4i1.296,2,strong evaluation vocabulary (4 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0613,Blockchain Technology for Intelligent Transportation Systems: A Systematic Literature Review,2022,IEEE Access,openalex,10.1109/access.2022.3149958,https://doi.org/10.1109/access.2022.3149958,2,strong evaluation vocabulary (5 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (3 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0308,Blockchain and Smart Public Procurement Contracts: A Comparative Legal Analysis of Digital Transformation in the Public Sector,2025,Access to Justice in Eastern Europe,openalex,10.33327/ajee-18-8.4-a000137,https://doi.org/10.33327/ajee-18-8.4-a000137,2,strong evaluation vocabulary (3 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0711,Blockchain-Based Architectures for Tamper-Proof Regulatory Recordkeeping and Real-Time Audit Readiness,2021,International Journal of Multidisciplinary Research and Growth Evaluation,openalex,10.54660/.ijmrge.2021.2.6.485-504,https://doi.org/10.54660/.ijmrge.2021.2.6.485-504,2,strong evaluation vocabulary (4 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (5 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0863,CertificateChain: decentralized healthcare training certificate management system using blockchain and smart contracts,2022,JAMIA OPEN,wos,10.1093/jamiaopen/ooac019,WOS:000769066900001,2,strong evaluation vocabulary (5 distinct terms),2,peer-reviewed venue + baseline/comparison signal,2,institutional/cross-org context explicit (2 markers),0,no implementation or artifact signal,6,A,True
FT-0642,Deep Learning Based Homomorphic Secure Search-Able Encryption for Keyword Search in Blockchain Healthcare System: A Novel Approach to Cryptography,2022,Sensors,openalex,10.3390/s22020528,https://doi.org/10.3390/s22020528,2,strong evaluation vocabulary (5 distinct terms),1,peer-reviewed venue OR baseline signal (not both),1,single institutional/domain marker,2,explicit artifact/reproducibility signal,6,A,True
FT-0367,"EmbryoTrust: A Blockchain-Based Framework for Trustworthy, Secure, and Ethical In Vitro Fertilization Data Management and Fertility Preservation",2025,Electronics,openalex,10.3390/electronics14234648,https://doi.org/10.3390/electronics14234648,2,strong evaluation vocabulary (3 distinct terms),1,peer-reviewed venue OR baseline signal (not both),1,single institutional/domain marker,2,explicit artifact/reproducibility signal,6,A,True
FT-0350,Financial Institutions' Integration of Blockchain Technology for Cross-Border Payment Optimization: A Systematic Analysis,2025,Journal of Computer Science and Technology Studies,openalex,10.32996/jcsts.2025.7.8.9,https://doi.org/10.32996/jcsts.2025.7.8.9,2,strong evaluation vocabulary (4 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (4 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0098,Let the Blocks Fly (Flying Blocks): A Highly Efficient and Practical Consensus Protocol for Authoritative Blockchains,2026,IEEE Transactions on Dependable and Secure Computing,ieee,10.1109/TDSC.2025.3621228,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11202733,1,some evaluation vocabulary (2 terms),2,peer-reviewed venue + baseline/comparison signal,2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0340,Online exam cheating detection and blockchain trusted deposit based on YOLOv12,2025,Scientific Reports,openalex,10.1038/s41598-025-18412-0,https://doi.org/10.1038/s41598-025-18412-0,2,strong evaluation vocabulary (4 distinct terms),1,peer-reviewed venue OR baseline signal (not both),1,single institutional/domain marker,2,explicit artifact/reproducibility signal,6,A,True
FT-0270,Optimizing Transparency and Accountability in Subsidized Fertilizer Budget Distribution and Reporting through Blockchain Technology,2025,"2025 International Conference on Informatics, Multimedia, Cyber and Information System (ICIMCIS)",ieee,10.1109/ICIMCIS68501.2025.11327152,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11327152,2,strong evaluation vocabulary (3 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0811,Physical Internet: First results and next challenges,2021,Journal of Business Logistics,openalex,10.1111/jbl.12268,https://doi.org/10.1111/jbl.12268,2,strong evaluation vocabulary (4 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0018,SCALHEALTH: Scalable Blockchain Integration for Secure IoT Healthcare Systems,2024,arXiv,arxiv,10.48550/arXiv.2403.08068v1,http://arxiv.org/abs/2403.08068v1,2,strong evaluation vocabulary (5 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (3 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0427,Technical sandbox for a Global Patient co-Owned Cloud (GPOC),2024,BMC Digital Health,openalex,10.1186/s44247-024-00128-2,https://doi.org/10.1186/s44247-024-00128-2,2,strong evaluation vocabulary (4 distinct terms),0,preprint/index source with no comparison signal,2,institutional/cross-org context explicit (3 markers),2,explicit artifact/reproducibility signal,6,A,True
FT-0067,The Use of Blockchain for Legislative Simplification and Tracking,2025,2025 Eleventh International Conference on eDemocracy & eGovernment (ICEDEG),ieee,10.1109/ICEDEG65568.2025.11081571,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081571,2,strong evaluation vocabulary (3 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,6,A,True
FT-0128,A Blockchain based Electronic Medical Health Records Framework using Smart Contracts,2021,2021 International Conference on Computer Communication and Informatics (ICCCI),ieee,10.1109/ICCCI50826.2021.9402689,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402689,1,some evaluation vocabulary (1 terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0267,"A Mapping Review on Cyber-Physical Smart Contracts: Architectures, Platforms, and Challenges",2023,IEEE Access,ieee,10.1109/ACCESS.2023.3290899,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10171137,1,some evaluation vocabulary (1 terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (3 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0725,A Novel Blockchain-Based Integrity and Reliable Veterinary Clinic Information Management System Using Predictive Analytics for Provisioning of Quality Health Services,2021,IEEE Access,openalex,10.1109/access.2021.3049325,https://doi.org/10.1109/access.2021.3049325,2,strong evaluation vocabulary (9 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),0,no implementation or artifact signal,5,B,True
FT-0846,A Permissioned Blockchain-based System for Collaborative Drug Discovery,2021,ICISSP: PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS SECURITY AND PRIVACY,wos,10.5220/0010236901210132,WOS:000664076200011,2,strong evaluation vocabulary (6 distinct terms),1,peer-reviewed venue OR baseline signal (not both),1,single institutional/domain marker,1,implementation mentioned but no public artifact signal,5,B,True
FT-0853,A Proxy Re-encryption Scheme of Medical Data Sharing Based on Consortium Blockchain,2022,"BLOCKCHAIN TECHNOLOGY AND APPLICATION, CBCC 2022",wos,10.1007/978-981-19-8877-6_1,WOS:000977256500001,1,some evaluation vocabulary (1 terms),2,peer-reviewed venue + baseline/comparison signal,2,institutional/cross-org context explicit (2 markers),0,no implementation or artifact signal,5,B,True
FT-0125,A Secure Design of Healthcare System with Blockchain and Internet of Things (IoT),2023,2023 International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),ieee,10.1109/IDCIoT56793.2023.10053491,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10053491,1,some evaluation vocabulary (2 terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0850,A consortium blockchain-based sealed electronic auction scheme utilizing attribute-based hybrid encryption,2025,JOURNAL OF SUPERCOMPUTING,wos,10.1007/s11227-025-07436-y,WOS:001499303200008,1,some evaluation vocabulary (1 terms),2,peer-reviewed venue + baseline/comparison signal,2,institutional/cross-org context explicit (2 markers),0,no implementation or artifact signal,5,B,True
FT-0413,A cross domain access control model for medical consortium based on DBSCAN and penalty function,2024,BMC Medical Informatics and Decision Making,openalex,10.1186/s12911-024-02638-5,https://doi.org/10.1186/s12911-024-02638-5,1,some evaluation vocabulary (2 terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (3 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0300,A lightweight scalable hybrid authentication framework for Internet of Medical Things (IoMT) using blockchain hyperledger consortium network with edge computing,2025,Scientific Reports,openalex,10.1038/s41598-025-05130-w,https://doi.org/10.1038/s41598-025-05130-w,2,strong evaluation vocabulary (4 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),0,no implementation or artifact signal,5,B,True
FT-0310,A secure end-to-end communication framework for cooperative IoT networks using hybrid blockchain system,2025,Scientific Reports,openalex,10.1038/s41598-025-96002-w,https://doi.org/10.1038/s41598-025-96002-w,2,strong evaluation vocabulary (4 distinct terms),1,peer-reviewed venue OR baseline signal (not both),1,single institutional/domain marker,1,implementation mentioned but no public artifact signal,5,B,True
FT-0041,An Empirical Analysis of Implementing Enterprise Blockchain Protocols in Supply Chain Anti-Counterfeiting and Traceability,2021,arXiv,arxiv,10.48550/arXiv.2102.02601v1,http://arxiv.org/abs/2102.02601v1,2,strong evaluation vocabulary (3 distinct terms),0,preprint/index source with no comparison signal,2,institutional/cross-org context explicit (3 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0473,An efficient sharding consensus algorithm for consortium chains,2023,Scientific Reports,openalex,10.1038/s41598-022-27228-1,https://doi.org/10.1038/s41598-022-27228-1,2,strong evaluation vocabulary (5 distinct terms),1,peer-reviewed venue OR baseline signal (not both),1,single institutional/domain marker,1,implementation mentioned but no public artifact signal,5,B,True
FT-0787,Application of Hyperledger in the Hospital Information Systems: A Survey,2021,IEEE Access,openalex,10.1109/access.2021.3112608,https://doi.org/10.1109/access.2021.3112608,1,some evaluation vocabulary (2 terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0436,BOMS: blockchain-enabled organ matching system,2024,Scientific Reports,openalex,10.1038/s41598-024-66375-5,https://doi.org/10.1038/s41598-024-66375-5,2,strong evaluation vocabulary (3 distinct terms),1,peer-reviewed venue OR baseline signal (not both),1,single institutional/domain marker,1,implementation mentioned but no public artifact signal,5,B,True
FT-0433,"Blockchain Technology Adoption Models for Emerging Financial Markets: Enhancing Transparency, Reducing Fraud, and Improving Efficiency",2024,International Journal of Multidisciplinary Research and Growth Evaluation,openalex,10.54660/.ijmrge.2024.5.1.1281-1292,https://doi.org/10.54660/.ijmrge.2024.5.1.1281-1292,1,some evaluation vocabulary (1 terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (3 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0297,Blockchain and Megatrends in Agri-Food Systems: A Multi-Source Evidence Approach,2026,Foods,openalex,10.3390/foods15030447,https://doi.org/10.3390/foods15030447,1,some evaluation vocabulary (2 terms),0,preprint/index source with no comparison signal,2,institutional/cross-org context explicit (2 markers),2,explicit artifact/reproducibility signal,5,B,True
FT-0318,Blockchain enhanced smart healthcare management for chronic diseases,2025,Discover Computing,openalex,10.1007/s10791-025-09574-6,https://doi.org/10.1007/s10791-025-09574-6,2,strong evaluation vocabulary (5 distinct terms),1,peer-reviewed venue OR baseline signal (not both),1,single institutional/domain marker,1,implementation mentioned but no public artifact signal,5,B,True
FT-0019,Blockchain in Healthcare: Implementing Hyperledger Fabric for Electronic Health Records at Frere Provincial Hospital,2024,arXiv,arxiv,10.48550/arXiv.2407.15876v1,http://arxiv.org/abs/2407.15876v1,2,strong evaluation vocabulary (4 distinct terms),0,preprint/index source with no comparison signal,2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0373,"Blockchain integration in healthcare: a comprehensive investigation of use cases, performance issues, and mitigation strategies",2024,Frontiers in Digital Health,openalex,10.3389/fdgth.2024.1359858,https://doi.org/10.3389/fdgth.2024.1359858,2,strong evaluation vocabulary (6 distinct terms),0,preprint/index source with no comparison signal,2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0290,Blockchain-Based BIM Digital Project Management Mechanism Research,2021,IEEE Access,ieee,10.1109/ACCESS.2021.3130270,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9628068,1,some evaluation vocabulary (1 terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0197,Blockchain-Based Medical Data Asset Sharing Framework for Healthcare 4.0,2025,IEEE Transactions on Industrial Informatics,ieee,10.1109/TII.2024.3488795,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10846940,2,strong evaluation vocabulary (3 distinct terms),2,peer-reviewed venue + baseline/comparison signal,1,single institutional/domain marker,0,no implementation or artifact signal,5,B,True
FT-0337,Blockchain-Enabled Privacy-Preserving Ecosystem for DNA Sequence Sharing,2025,Applied Sciences,openalex,10.3390/app15063193,https://doi.org/10.3390/app15063193,2,strong evaluation vocabulary (4 distinct terms),0,preprint/index source with no comparison signal,2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0768,Blockchain-oriented Inter-organizational Collaboration between Healthcare Providers to Handle the COVID-19 Process,2021,International Journal of Advanced Computer Science and Applications,openalex,10.14569/ijacsa.2021.0121294,https://doi.org/10.14569/ijacsa.2021.0121294,2,strong evaluation vocabulary (4 distinct terms),0,preprint/index source with no comparison signal,2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0419,Consortium Blockchain for Reliable Remote Health Monitoring,2024,Research Square,openalex,10.21203/rs.3.rs-2297411/v1,https://doi.org/10.21203/rs.3.rs-2297411/v1,1,some evaluation vocabulary (1 terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (3 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0088,CyberHealth Blockchain-Enabled AI System for Securing and Sharing Patient Records in Multi-Hospital Environments,2025,2025 2nd International Conference on Electronic Circuits and Signaling Technologies (ICECST),ieee,10.1109/ICECST66106.2025.11307397,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11307397,1,some evaluation vocabulary (1 terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (3 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0847,DATA SECURITY AND PRIVACY PROTECTION MECHANISM FOR POWER GRID SUPPLY CHAIN BASED ONDUAL-CONSORTIUM BLOCKCHAIN ARCHITECTURE AND IMPROVED BGN ALGORITHM,2025,ARCHIVES FOR TECHNICAL SCIENCES,wos,10.70102/afts.2025.1833.819,WOS:001650468500020,1,some evaluation vocabulary (2 terms),2,peer-reviewed venue + baseline/comparison signal,2,institutional/cross-org context explicit (3 markers),0,no implementation or artifact signal,5,B,True
FT-0537,Decentralized Multi-Layered Architecture to Strengthen the Security in the Internet of Things Environment Using Blockchain Technology,2023,Electronics,openalex,10.3390/electronics12204314,https://doi.org/10.3390/electronics12204314,2,strong evaluation vocabulary (7 distinct terms),1,peer-reviewed venue OR baseline signal (not both),0,no institutional/cross-org marker in title/abstract,2,explicit artifact/reproducibility signal,5,B,True
FT-0227,Decentralized Supply Chain Management: A Blockchain Framework for Transparency and Traceability,2025,2025 IEEE International Conference on E-Business Engineering (ICEBE),ieee,10.1109/ICEBE68123.2025.00044,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11299300,1,some evaluation vocabulary (1 terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (3 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0612,Development of metaverse for intelligent healthcare,2022,Nature Machine Intelligence,openalex,10.1038/s42256-022-00549-6,https://doi.org/10.1038/s42256-022-00549-6,1,some evaluation vocabulary (2 terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0347,Global Standardization Model for Next-Generation Blockchain Interoperability in Payment Systems,2025,International Journal of Multidisciplinary Research and Growth Evaluation,openalex,10.54660/.ijmrge.2025.6.6.820-834,https://doi.org/10.54660/.ijmrge.2025.6.6.820-834,2,strong evaluation vocabulary (3 distinct terms),0,preprint/index source with no comparison signal,2,institutional/cross-org context explicit (3 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0055,HealChain: Enhancing Security and Accessibility of Medical Records through Blockchain Technology,2024,2024 32nd Telecommunications Forum (TELFOR),ieee,10.1109/TELFOR63250.2024.10819172,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10819172,1,some evaluation vocabulary (2 terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0203,Hyperledger Fabric-Based Permissioned Blockchain Framework for University Examination Information Management System,2025,2025 3rd International Conference on Data Science and Information System (ICDSIS),ieee,10.1109/ICDSIS65355.2025.11070806,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11070806,2,strong evaluation vocabulary (3 distinct terms),2,peer-reviewed venue + baseline/comparison signal,1,single institutional/domain marker,0,no implementation or artifact signal,5,B,True
FT-0720,Insights into Blockchain Implementation in Construction: Models for Supply Chain Management,2021,Journal of Management in Engineering,openalex,10.1061/(asce)me.1943-5479.0000939,https://doi.org/10.1061/(asce)me.1943-5479.0000939,2,strong evaluation vocabulary (3 distinct terms),0,preprint/index source with no comparison signal,2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0044,Leveraging Public-Private Blockchain Interoperability for Closed Consortium Interfacing,2021,arXiv,arxiv,10.48550/arXiv.2104.09801v1,http://arxiv.org/abs/2104.09801v1,2,strong evaluation vocabulary (5 distinct terms),0,preprint/index source with no comparison signal,2,institutional/cross-org context explicit (3 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0315,MedBlock-Bot: A Blockchain-Enabled RAG System for Providing Feedback to Large Language Models Accessing Pediatric Clinical Guidelines,2025,,openalex,10.1109/cbms65348.2025.00172,https://doi.org/10.1109/cbms65348.2025.00172,1,some evaluation vocabulary (1 terms),0,preprint/index source with no comparison signal,2,institutional/cross-org context explicit (2 markers),2,explicit artifact/reproducibility signal,5,B,True
FT-0521,Medical supply chain integrated with blockchain and IoT to track the logistics of medical products,2023,Multimedia Tools and Applications,openalex,10.1007/s11042-023-14846-8,https://doi.org/10.1007/s11042-023-14846-8,2,strong evaluation vocabulary (4 distinct terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),0,no implementation or artifact signal,5,B,True
FT-0755,Multi-Layer Blockchain-Based Security Architecture for Internet of Things,2021,Sensors,openalex,10.3390/s21030772,https://doi.org/10.3390/s21030772,2,strong evaluation vocabulary (6 distinct terms),1,peer-reviewed venue OR baseline signal (not both),0,no institutional/cross-org marker in title/abstract,2,explicit artifact/reproducibility signal,5,B,True
FT-0408,Orchestration Framework Based on Revocable Dynamic Hash Table for Dynamic Access of Data in Multi-Cloud Environments,2024,International journal of intelligent engineering and systems,openalex,10.22266/ijies2024.0831.58,https://doi.org/10.22266/ijies2024.0831.58,0,no evaluation vocabulary detected in title/abstract,1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),2,explicit artifact/reproducibility signal,5,B,True
FT-0859,Permissioned Blockchain-Based XGBoost for Multi Banks Fraud Detection,2023,"NEURAL INFORMATION PROCESSING, ICONIP 2022, PT III",wos,10.1007/978-3-031-30111-7_57,WOS:001417312500057,1,some evaluation vocabulary (1 terms),2,peer-reviewed venue + baseline/comparison signal,1,single institutional/domain marker,1,implementation mentioned but no public artifact signal,5,B,True
FT-0037,PrivChain: Provenance and Privacy Preservation in Blockchain enabled Supply Chains,2021,arXiv,arxiv,10.48550/arXiv.2104.13964v1,http://arxiv.org/abs/2104.13964v1,2,strong evaluation vocabulary (3 distinct terms),0,preprint/index source with no comparison signal,2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0849,Privacy-Preserving Education Data Sharing Scheme Based on Consortium Blockchain,2025,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,wos,,WOS:001638686600001,1,some evaluation vocabulary (1 terms),1,peer-reviewed venue OR baseline signal (not both),2,institutional/cross-org context explicit (2 markers),1,implementation mentioned but no public artifact signal,5,B,True
FT-0053,Public vs. Permissioned Blockchains for DAOs: Insights for Standardized Implementations,2025,2025 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),ieee,10.1109/ICBC64466.2025.11114668,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11114668,2,strong evaluation vocabulary (6 distinct terms),2,peer-reviewed venue + baseline/comparison signal,0,no institutional/cross-org marker in title/abstract,1,implementation mentioned but no public artifact signal,5,B,True
FT-0045,SPAD – A Secure and Privacy-Preserving Distributed Analytics Framework,2025,2025 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),ieee,10.1109/ICBC64466.2025.11114453,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11114453,1,some evaluation vocabulary (1 terms),1,peer-reviewed venue OR baseline signal (not both),1,single institutional/domain marker,2,explicit artifact/reproducibility signal,5,B,True
FT-0027,Secure Decentralized IoT Service Platform using Consortium Blockchain,2022,arXiv,arxiv,10.48550/arXiv.2209.12145v1,http://arxiv.org/abs/2209.12145v1,2,strong evaluation vocabulary (5 distinct terms),1,peer-reviewed venue OR baseline signal (not both),1,single institutional/domain marker,1,implementation mentioned but no public artifact signal,5,B,True
FT-0175,Secure Medical Data Sharing Featuring Traceable Data Usage and Automatic Audit Mechanism,2025,IEEE Internet of Things Journal,ieee,10.1109/JIOT.2025.3559926,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10963865,1,some evaluation vocabulary (2 terms),2,peer-reviewed venue + baseline/comparison signal,2,institutional/cross-org context explicit (2 markers),0,no implementation or artifact signal,5,B,True
FT-0733,Survey of Interoperability in Electronic Health Records Management and Proposed Blockchain Based Framework: MyBlockEHR,2021,IEEE Access,openalex,10.1109/access.2021.3129284,https://doi.org/10.1109/access.2021.3129284,2,strong evaluation vocabulary (3 distinct terms),1,peer-reviewed venue OR baseline signal (not both),1,single institutional/domain marker,1,implementation mentioned but no public artifact signal,5,B,True
