study_id,year,tier,has_fulltext,domain,platform_stack,consensus_strategy,network_model,governance_model,access_control_model,privacy_mechanism,smart_contract_support
ST-0347,2025,B,False,finance/banking; identity; education,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0348,2025,C,False,finance/banking; government/public sector; identity; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0349,2025,B,True,supply chain; government/public sector; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not mentioned
ST-0350,2025,A,True,finance/banking; government/public sector,Hyperledger Fabric; Corda,not specified,consortium,not specified,not specified,not specified,not mentioned
ST-0351,2025,C,False,supply chain; government/public sector; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0352,2025,D,False,finance/banking; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0363,2025,C,False,healthcare; IoT/edge,Hyperledger Fabric,not specified,not specified,not specified,not specified,private channels,not specified
ST-0364,2025,A,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,Hyperledger Fabric; Ethereum; Bitcoin,PBFT; RAFT; PoS; PoW,consortium; permissioned; private; public; hybrid,not specified,RBAC; ABAC; MSP (Fabric),zero-knowledge proofs; private channels; attribute-based encryption,yes
ST-0366,2025,C,False,healthcare,Ethereum,not specified,not specified,not specified,not specified,not specified,yes
ST-0367,2025,A,False,healthcare; supply chain; government/public sector; identity,Ethereum,not specified,not specified,not specified,not specified,not specified,yes
ST-0372,2024,C,False,supply chain; government/public sector,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0373,2024,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,Hyperledger Fabric; Corda; Ethereum; IOTA; Bitcoin; Multichain,PBFT; BFT (general); PoA; PoS; PoW; DPoS,consortium; permissioned; private,not specified,RBAC,not specified,yes
ST-0374,2024,C,False,healthcare; IoT/edge,not specified,PoS; PoW,not specified,not specified,not specified,zero-knowledge; homomorphic encryption,not specified
ST-0375,2024,D,False,healthcare; identity; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0377,2024,C,False,supply chain; IoT/edge,not specified,PBFT,not specified,not specified,not specified,not specified,not specified
ST-0381,2024,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS,not specified,PBFT; HotStuff; BFT (general); PoW,consortium; private; public,not specified,not specified,not specified,not mentioned
ST-0388,2024,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI,Ethereum; Bitcoin,RAFT; PoA,consortium,not specified,ABAC; decentralized identity,zero-knowledge proofs; attribute-based encryption,yes
ST-0390,2024,B,True,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; IoT/edge/CPS; education,Hyperledger Fabric; Corda; Ethereum; Polkadot/Substrate; Bitcoin,PBFT; BFT (general); PoA; PoS; PoW,consortium; permissioned; private; public; hybrid,not specified,decentralized identity,private channels,yes
ST-0393,2024,B,False,healthcare,Ethereum,not specified,not specified,not specified,not specified,not specified,yes
ST-0398,2024,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,Quorum; Ethereum; Bitcoin,PoS; PoW,permissioned,multi-sig policy,RBAC; decentralized identity,not specified,yes
ST-0403,2024,B,True,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education,Bitcoin,PoS; PoW,public,not specified,not specified,not specified,yes
ST-0405,2024,C,False,supply chain; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0408,2024,B,True,healthcare; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS,Ethereum,not specified,consortium,not specified,not specified,not specified,not mentioned
ST-0409,2024,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; agriculture,Hyperledger Fabric; Corda; Ethereum; Bitcoin,BFT (general); RAFT; PoW,consortium; permissioned; private; public,not specified,not specified,not specified,yes
ST-0413,2024,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education; agriculture,Bitcoin,PoW; DPoS,consortium,not specified,RBAC; ABAC,attribute-based encryption,yes
ST-0419,2024,B,True,healthcare; finance/banking; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,Hyperledger Fabric; Ethereum; Bitcoin,PoS,consortium; private; public,not specified,not specified,not specified,yes
ST-0424,2024,C,False,IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0426,2024,D,False,healthcare,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0427,2024,A,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS,Hyperledger Fabric; Hyperledger Besu; Ethereum; IOTA; Bitcoin,BFT (general); PoS; PoW,consortium; permissioned; private; public,not specified,not specified,zero-knowledge proofs; homomorphic encryption; attribute-based encryption,yes
ST-0428,2024,C,False,energy/utilities,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0429,2024,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility; agriculture,Ethereum; Bitcoin,PBFT; BFT (general); PoS; PoW,consortium; permissioned; private; public; hybrid,not specified,decentralized identity,zero-knowledge proofs,yes
ST-0431,2024,C,False,government/public sector; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0432,2024,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; transportation/mobility,Ethereum,not specified,consortium,not specified,not specified,differential privacy; tokenisation,yes
ST-0433,2024,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; agriculture,Ethereum; Ripple/XRP; Bitcoin,PoS; PoW,hybrid,multi-sig policy,not specified,not specified,not mentioned
ST-0434,2024,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; IoT/edge/CPS; education; transportation/mobility,not specified,PoS; PoW,consortium,not specified,not specified,not specified,yes
ST-0436,2024,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education; transportation/mobility,Hyperledger Besu; Ethereum,not specified,consortium; public,not specified,decentralized identity,not specified,yes
ST-0437,2024,C,False,IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0446,2024,B,True,finance/banking; supply chain; government/public sector; identity/PKI; transportation/mobility,Ethereum; Polkadot/Substrate; Cosmos/Tendermint; Bitcoin; Multichain,Tendermint BFT; BFT (general),consortium,not specified,not specified,not specified,yes
ST-0451,2024,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; IoT/edge/CPS; education; agriculture,Hyperledger Fabric,PoW,consortium; permissioned; private; public,not specified,ABAC; ACL; MSP (Fabric),zero-knowledge proofs; homomorphic encryption; MPC/secure computation; differential privacy; TEE/SGX,yes
ST-0452,2024,C,False,finance/banking; IoT/edge,not specified,not specified,not specified,not specified,not specified,zero-knowledge,not specified
ST-0456,2024,D,False,unclassified,not specified,not specified,not specified,not specified,not specified,homomorphic encryption,not specified
ST-0458,2024,C,False,healthcare; IoT/edge,not specified,not specified,not specified,not specified,not specified,homomorphic encryption,yes
ST-0459,2024,B,False,healthcare; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0460,2023,B,False,healthcare; government/public sector; energy/utilities; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0461,2023,C,False,government/public sector; energy/utilities,not specified,PoW,not specified,not specified,not specified,not specified,not specified
ST-0463,2023,C,False,finance/banking; government/public sector,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0466,2023,C,False,government/public sector; IoT/edge,not specified,PBFT,not specified,not specified,not specified,not specified,not specified
ST-0468,2023,C,False,healthcare,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0470,2023,B,False,healthcare; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0471,2023,C,False,healthcare; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0473,2023,B,True,finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI,Bitcoin,PBFT; HotStuff; BFT (general); RAFT; PoS; PoW,consortium; public,multi-sig policy,decentralized identity,not specified,not mentioned
ST-0475,2023,C,False,unclassified,not specified,PBFT,not specified,not specified,not specified,not specified,not specified
ST-0484,2023,C,False,supply chain; energy/utilities,not specified,PBFT,not specified,not specified,not specified,not specified,yes
ST-0487,2023,C,False,IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0492,2023,C,False,unclassified,Ethereum,not specified,not specified,not specified,not specified,not specified,yes
ST-0496,2023,C,False,IoT/edge,Hyperledger Besu; Ethereum,RAFT,not specified,not specified,not specified,not specified,yes
ST-0498,2023,D,False,IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0499,2023,B,True,healthcare; finance/banking; supply chain; government/public sector; identity/PKI; education; transportation/mobility,Hyperledger Fabric; Hyperledger Sawtooth; Hyperledger Iroha; Ethereum; Polkadot/Substrate; Bitcoin,not specified,consortium; permissioned; private; public,not specified,ABAC,attribute-based encryption,yes
ST-0502,2023,B,False,healthcare; supply chain; IoT/edge,Ethereum,not specified,not specified,not specified,not specified,not specified,yes
ST-0503,2023,C,False,supply chain; government/public sector; identity; IoT/edge; education,not specified,not specified,not specified,not specified,not specified,zero-knowledge,not specified
ST-0505,2023,C,False,unclassified,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0506,2023,B,False,unclassified,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0515,2023,C,False,supply chain,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0521,2023,B,True,healthcare; finance/banking; supply chain; government/public sector; IoT/edge/CPS; education; transportation/mobility; agriculture,Hyperledger Fabric; Ethereum; Bitcoin,PoW,not specified,not specified,not specified,not specified,yes
ST-0525,2023,C,False,healthcare; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0527,2023,C,False,unclassified,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0530,2023,C,False,healthcare; finance/banking; supply chain; energy/utilities; IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0531,2023,C,False,supply chain,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0537,2023,B,False,IoT/edge,Hyperledger Fabric,not specified,not specified,not specified,not specified,not specified,not specified
ST-0539,2023,D,False,IoT/edge,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0544,2023,C,False,healthcare; IoT/edge,not specified,not specified,not specified,not specified,not specified,zero-knowledge,not specified
ST-0545,2023,B,False,finance/banking; energy/utilities; IoT/edge,Corda; Ethereum,not specified,not specified,not specified,not specified,not specified,not specified
ST-0548,2023,C,False,IoT/edge; education,Hyperledger Fabric,not specified,not specified,not specified,not specified,not specified,not specified
ST-0553,2023,B,True,healthcare; finance/banking; supply chain; government/public sector; energy/utilities; identity/PKI; education,not specified,BFT (general),consortium; permissioned,not specified,not specified,not specified,yes
ST-0554,2023,D,False,healthcare,not specified,not specified,not specified,not specified,not specified,not specified,yes
ST-0556,2023,C,False,unclassified,not specified,PoW,not specified,not specified,not specified,not specified,not specified
ST-0557,2023,D,False,unclassified,not specified,not specified,not specified,not specified,not specified,not specified,not specified
ST-0565,2023,C,False,unclassified,not specified,not specified,not specified,not specified,not specified,not specified,not specified
